,Empresa,Estado,"¿Autorizan que los contactemos vía Whatsapp?, esto nos ayudará a mejorar la comunicación con ustedes para entregar resultados.",Municipio,Parque o zona industrial donde están ubicados,También puedes consultarlo en línea https://www.catchconsulting.com.mx/#/aviso-privacidad,¿Qué información desean contestar?,"Por favor, seleccione el municipio donde se encuentran ubicados","Por favor, seleccione el municipio donde se encuentran ubicados.1",¿Dentro de que parque o zona industrial están ubicados?.1,"Por favor, seleccione su principal industria o sector comercial.En caso de que el modelo no se ajuste a su compañía, favor de seleccionar la casilla más cercana.","Por favor, especifique el producto final o servicios que su compañía fabrica o comercializa.","Avance 10% - Por favor, seleccione el principal origen de capital de su compañía:","Por favor, seleccione el tiempo que ha estado operando su compañía:",¿Su compañía cuenta con alguna Confederación Sindical (Sindicato)?,"Por favor, especifique su Número de Empleados Actual de Personal Operativo (empleados también clasificados como ""Sindicalizados"").En caso de no contar con este tipo de personal capturar 0. Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","Por favor, especifique su Número de Empleados Actual de Personal Administrativo (empleados también clasificados como ""Staff"").En caso de no contar con este tipo de personal capturar 0. Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","¿Qué proporción hay de mujeres y hombres?Tomando el 100% de su headcount actual, ¿Qué porcentaje de su población son Mujeres y qué porcentaje Hombres?Considere que ambas cantidades deben sumar 100Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Por ejemplo:



Porcentaje Mujeres
35


Porcentaje Hombres
75


TOTAL
100","Avance - 30% Por favor, capture el Salario Diario Inicial ofrecido a su personal operativo. El salario inicial corresponde al salario ofrecido durante el periodo de entrenamiento.Este campo solo admite números decimales. Omitir signos de moneda y/o comas.Rango 102.68  - 900.00","Por favor, capture el Salario Diario Intermedio - Bajo ofrecido a su personal operativo. El Salario Intermedio - Bajo corresponde al salario ofrecido a personal que requiere trabajar bajo supervisión.Este campo solo admite números decimales. Omitir signos de moneda y/o comas.Rango 102.68  - 900.00","Por favor, capture el Salario Diario Intermedio - Alto ofrecido a su personal operativo. El salario intermedio - alto, corresponde al salario ofrecido a personal que puede trabajar sin necesidad de supervisión.Este campo solo admite números decimales. Omitir signos de moneda y/o comas.Rango 102.68 - 900.00","Por favor, capture el Salario Diario Máximo ofrecido a su personal operativo. El salario Máximo, se le otorga al personal que puede entrenar a otros o que cuenta con multihabilidad para realizar varias actividades.Este campo solo admite números decimales. Omitir signos de moneda y/o comas.Rango 102.68 - 900.00","El personal que ocupa esta última categoría, ¿Tiene personal a su cargo?En caso de que el modelo no se ajuste a su compañía, favor de seleccionar la casilla más cercana.","Entendiendo que este modelo salarial de 4 categorías para su personal operativo no es general para todos los casos, por favor indíquenos si cuenta con otro esquema para sus posiciones operativas.",¿Deseas continuar ahora  con el resto de la encuesta para actualizar toda su información o requieres tomar un break?,Seleccione el BIMESTRE a reportar:,"Por favor, capture el TOTAL DE CONTRATACIONES que realizó durante el último bimestre.Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Si no tuvo contrataciones, capturar 0 (Cero).","De acuerdo a su criterio, de cada 10 candidatos entrevistados para ocupar un puesto operativo, ¿cuántos acreditan los requisitos para laborar en su compañía?.En caso de que el modelo no se ajuste a su compañía, favor de seleccionar la casilla más cercana.","Por favor, capture el NÚMERO DE BAJAS que tuvo durante el BIMESTRE.Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Si no tuvo bajas, capturar 0 (Cero).","Por favor, DESGLOSE LAS BAJAS DEL BIMESTRE de acuerdo a cómo se presentaron durante el periodo.Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Si no tuvo bajas, capturar 0 (Cero).","Por favor, capture el TOTAL de FALTAS que tuvo durante el bimestre.Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","Por favor, DESGLOSE LAS FALTAS DE PERSONAL ADMINISTRATIVO de acuerdo a cómo se presentaron durante el Bimestre.Procure que la suma de las cantidades corresponda al total de faltas reportadas.Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Si no tuvo faltas, capturar 0 (Cero).",¿Registraron algún tipo incapacidad durante el bimestre?Tome en cuenta aquellas que que fueron por Riesgo de Trabajo - Enfermedad General y/o Maternidad.,"De acuerdo al siguiente listado, actualmente, ¿Qué perfiles se encuentra desarrollando en su compañía?Considere si se encuentra desarrollándolos internamente o por medio de alguna institución externa.Si el modelo no se ajusta a su compañía, por favor seleccionar la opción más cercana.En caso de que no se encuentre desarrollando algún perfil, seleccionar ""No Aplica"".",¿Cuál es Estatus Actual de su Negociación de Contrato Colectivo - Revisión de Incrementos de Salarios y Beneficios de este año?,"Considerando el mes en curso y el siguiente mes, ¿Tendrá contrataciones para niveles operativos y/o administrativos?",¿Deseas continuar ahora con el resto de la encuesta para actualizar toda su información o requieres tomar un break?
0,Open-Ended Response,Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Open-Ended Response,Open-Ended Response,Mujeres,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Personal en categoría Máxima - Multihabilidad - Equipo de tiene a cargo,Response,Response,Response,Open-Ended Response,Candidatos Aceptados - Candidatos,Open-Ended Response,Mes 1,Open-Ended Response,Ausentismo Justificado - Personal Administrativo,Response,Personal operativo en general,Response,Response,Response
1,COMP001,Guanajuato,"Sí,acepto",Romita,Romita,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Romita,Romita,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Partes acústicas,Estados Unidos de América,4 - 6 años,Sí,145,20,20,207.4,251.7,293,468,10,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,20,4,12,6,125,30,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
2,COMP002,Guanajuato,"Sí,acepto",León,León,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,León,León,LAS COLINAS DE LEÓN INDUSTRIAL PARK - LEÓN,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Manijas para automovil,Estados Unidos de América,7 - 10 años,Sí,111,161,59,202.92,220.56,256.93,289.54,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,5,7,2,2,366,16,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
3,COMP003,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Autopartes para sistema de frenado,Japón,4 - 6 años,Sí,190,40,20,210,241.86,259.58,263.07,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,10,4,6,4,635,0,Sí,Actualmente en desarrollo con un plan externo,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
4,COMP004,Guanajuato,"No, no acepto por el momento",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Partes plasticas y Metálicas para componentes Automotrices,Estados Unidos de América,1 - 3 años,Sí,7,9,25,208,208,210,220,5,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,3,1,0,18,7,Sí,Actualmente en desarrollo con un plan interno,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
5,COMP005,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Arneses eléctricos Automotrices,México,20 - 30 años,Sí,1350,417,60,172.87,180,180,220.1,4,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,325,8,225,180,2600,0,No,Actualmente en desarrollo con un plan interno,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
6,COMP006,Guanajuato,"No, no acepto por el momento",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Ventiladores para asientos automotrices.,Japón,7 - 10 años,Sí,429,84,66,173,197.2,231.2,417.73,Más de 20 personas a su cargo,Este modelo de 4 categorías se ajusta al esquema de mi compañía,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,47,5,45,13,3128,123,Sí,No aplica,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir",Deseo continuar con el resto de la encuesta.
7,COMP007,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Piezas metálicas para autos,España,4 - 6 años,No,13,22,29,225.74,278.21,318.01,391.8,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,1,6,3,1,33,3,No,No aplica,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
8,COMP008,Guanajuato,"Sí,acepto",León,León,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,León,León,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Resortes (Compresión, extensión y torsión)  y Formas de Alambre (Brazos y aros de sujeción)",Otro (especifique),16 - 20 años,Sí,92,40,94,210,229,286,333,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,24,3,18,7,299,16,Sí,No aplica,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
9,COMP009,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Empresa de servicios en general(Comercios en general, salud, instituciones financieras, gasolineras, hotelería, transporte, ventas, etc.)","Fabrica y comercializa insumos agrícolas y de uso urbano. Agroquímicos, Fertilizantes, Productos para el control de plagas urbanas y agrícolas",México,30 - 40 años,No,46,31,30,175,175,258.87,292.8,5,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,3,4,3,162,35,Sí,No aplica,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
10,COMP010,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,"En caso de que no encontrar en la lista tu parque industrial o zona, ingresa el nombre aquí.","Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","FABRICACION DE PIEZAS METALICAS CON SERVICIO DE DOBLEZ, SOLDADURA Y ACABADOS DE PINTURA ELECTROSTATICA",México,11 - 15 años,No,30,15,32,207,285,328,642,2,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Sí, necesito un descanso de 5 minutos",Noviembre - Diciembre 2022,2,4,2,0,4,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
11,COMP011,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Cajas de transferencia 4x4,Estados Unidos de América,11 - 15 años,Sí,223,114,30,227,271.6,335,815,20,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,27,4,22,12,149,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
12,COMP012,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Descansabrazos, Coderas, Cortinillas, Cubreequipajes, quemacocos, mangueras plásticas y partes de Foam.",Alemania,11 - 15 años,Sí,1260,300,53,234.6,251.7,339.6,395.3,10,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,54,7,85,44,3077,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
13,COMP013,Guanajuato,"No, no acepto por el momento",Pénjamo,Pénjamo,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Pénjamo,Pénjamo,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Ropa de Trabajo,Estados Unidos de América,20 - 30 años,Sí,1900,396,68,190.15,245.35,245.35,245.35,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,6,5,24,24,410,20,No,No aplica,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir",Deseo continuar con el resto de la encuesta.
14,COMP014,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Termoplasticos especializados para la industria automotríz y de calzado,Estados Unidos de América,más de 40 años,Sí,50,29,10,203.04,262.84,294.74,366.8,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,1,0,0,0,0,No,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
15,COMP015,Guanajuato,"Sí,acepto",Celaya,Celaya,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NOVOPARK - CELAYA,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Cereales y Galletas,México,16 - 20 años,Sí,692,292,41,245,260,334,404,8,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,33,3,73,49,1345,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
16,COMP016,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",COMPONENTES DE PIEZAS PLASTICAS,México,11 - 15 años,No,117,35,89,196.25,215.15,233.45,249.98,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,23,6,24,12,157,50,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
17,COMP017,Guanajuato,"No, no acepto por el momento",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Catsup, mermeladas, salsas, vegetales enlatados, Palomitas para microondas. Marcas del Monte y ACTII",Estados Unidos de América,más de 40 años,Sí,366,141,37,242,334,442,512,17,Este modelo de 4 categorías se ajusta al esquema de mi compañía,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,6,3,14,12,658,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
18,COMP018,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",EMPAQUES DE CARTÓN CORRUGADO,México,20 - 30 años,No,140,30,23,255.3,333.31,386.65,458.27,5,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,12,4,7,5,68,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"No, no tengo vacantes por cubrir","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
19,COMP019,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,Otro (especifique),Vegetales Congelados,México,más de 40 años,Sí,610,60,53,218,233,248,269,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Sí, necesito un descanso de 5 minutos",Noviembre - Diciembre 2022,61,8,58,35,1323,0,No,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
20,COMP020,Guanajuato,"No, no acepto por el momento",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Alambrón y Varilla,México,20 - 30 años,Sí,775,180,2,351.56,444.05,558.68,647.69,10,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,6,8,16,8,43,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo finalizar mi participación.
21,COMP021,Guanajuato,"Sí,acepto",Villagran,Villagran,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Villagran,Villagran,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Productor derivados del alambron, en su mayoría para la construcción.",México,más de 40 años,Sí,457,36,2,290.76,441.021,488.033,690.514,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,3,3,14,8,75,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo finalizar mi participación.
22,COMP022,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,"En caso de que no encontrar en la lista tu parque industrial o zona, ingresa el nombre aquí.","Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","MAQUINADOS INDUSTRIALES, DISEÑO Y FABRICACIÓN DE HERRAMENTALES",México,7 - 10 años,No,24,12,61,193.33,213,230,550,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,16,3,7,2,25,0,Sí,Pendiente por desarrollar,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
