,Empresa,Estado,"¿Autorizan que los contactemos vía Whatsapp?, esto nos ayudará a mejorar la comunicación con ustedes para entregar resultados.",Municipio,Parque o zona industrial donde están ubicados,También puedes consultarlo en línea https://www.catchconsulting.com.mx/#/aviso-privacidad,¿Qué información desean contestar?,"Por favor, seleccione el municipio donde se encuentran ubicados","Por favor, seleccione el municipio donde se encuentran ubicados.1",¿Dentro de que parque o zona industrial están ubicados?.1,"Por favor, seleccione su principal industria o sector comercial.En caso de que el modelo no se ajuste a su compañía, favor de seleccionar la casilla más cercana.","Por favor, especifique el producto final o servicios que su compañía fabrica o comercializa.","Avance 10% - Por favor, seleccione el principal origen de capital de su compañía:","Por favor, seleccione el tiempo que ha estado operando su compañía:",¿Su compañía cuenta con alguna Confederación Sindical (Sindicato)?,"Por favor, especifique su Número de Empleados Actual de Personal Operativo (empleados también clasificados como ""Sindicalizados"").En caso de no contar con este tipo de personal capturar 0. Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","Por favor, especifique su Número de Empleados Actual de Personal Administrativo (empleados también clasificados como ""Staff"").En caso de no contar con este tipo de personal capturar 0. Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","¿Qué proporción hay de mujeres y hombres?Tomando el 100% de su headcount actual, ¿Qué porcentaje de su población son Mujeres y qué porcentaje Hombres?Considere que ambas cantidades deben sumar 100Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Por ejemplo:
23,COMP023,Guanajuato,"Sí,acepto",León,León,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,León,León,LAS COLINAS DE LEÓN INDUSTRIAL PARK - LEÓN,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Filtros de Aire y Líquidos,Estados Unidos de América,0 - 6 meses,Sí,0,8,20,269.63,400,500,800,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,8,7,0,0,0,0,No,No aplica,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
24,COMP024,Guanajuato,"No, no acepto por el momento",Celaya,Celaya,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,BUSINESS PARK CELAYA II - CELAYA,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Autopartes de acero por forja en frío más operaciones secundarios,España,4 - 6 años,No,0,6,29,237,301,362,584,17,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,3,0,0,0,0,No,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir",Deseo continuar con el resto de la encuesta.
25,COMP025,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Embutidos y carnes frías,México,más de 40 años,Sí,750,370,40,244,262,300,345,1,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,53,3,74,29,460,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
26,COMP026,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,"En caso de que no encontrar en la lista tu parque industrial o zona, ingresa el nombre aquí.","Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Agroquímicos,México,30 - 40 años,Sí,111,17,60,251.42,290.81,311,430,8,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,6,10,12,5,193,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
27,COMP027,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,CENTRO INDUSTRIAL GUANAJUATO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Suspensiones frontales y traseras, diversos componentes automotrices",Japón,7 - 10 años,Sí,850,326,25,230,255,276.12,300.96,9,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,67,5,45,19,788,80,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
28,COMP028,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Die Casting,Italia,7 - 10 años,Sí,246,122,27,220,257,325,379,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,21,6,79,38,491,0,Sí,Pendiente por desarrollar,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
29,COMP029,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Empresa de servicios en general(Comercios en general, salud, instituciones financieras, gasolineras, hotelería, transporte, ventas, etc.)",COMERCIALIZADORA DE DERIVADOS DE ACERO,México,30 - 40 años,Sí,42,55,40,210.19,316.26,409.15,571.77,1,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,5,2,5,2,23,8,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
30,COMP030,Guanajuato,"No, no acepto por el momento",León,León,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,León,León,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Realizamos proyectos desde diseño, modelos, manufactura, maquinados y acabados superficiales, como herramentales en acero refractario para tratamiento térmico, aceros, hierros grises, hierro nodular, bronces y aluminio en procesos sand casting en tiradas cortas.",México,1 - 3 años,No,15,5,15,214.28,285.71,428.57,800,4,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,3,0,0,3,0,No,No aplica,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir",Deseo continuar con el resto de la encuesta.
31,COMP031,Guanajuato,"No, no acepto por el momento",San Miguel de Allende,San Miguel de Allende,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,San Miguel de Allende,San Miguel de Allende,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Licenciamiento, soporte técnico, capacitación, consultoría en software de simulación ANSYS",México,20 - 30 años,No,25,30,30,280,666,900,900,10,Este modelo de 4 categorías se ajusta al esquema de mi compañía,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,2,5,3,2,0,0,Sí,Actualmente en desarrollo con un plan interno,No Aplica (Especifique),"No, no tengo vacantes por cubrir",Deseo continuar con el resto de la encuesta.
32,COMP032,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Partes estampadas para body y transmisión,Japón,7 - 10 años,Sí,88,41,60,187.79,260.95,379.19,489.92,10,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,5,4,10,5,155,37,Sí,Pendiente por desarrollar,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
33,COMP033,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NOVOPARK - CELAYA,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Partes para aeronaves,Estados Unidos de América,1 - 3 años,No,4,11,32,275,284,294,294,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,7,1,1,0,0,No,Actualmente en desarrollo con un plan interno,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
34,COMP034,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Manufactura de interiores de vehiculos (consolas, cabeceras, paneles de puertas, paneles de instrumentos, etc)",Estados Unidos de América,11 - 15 años,Sí,946,39,51,218,238,313,388,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,95,7,84,42,523,0,No,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
35,COMP035,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Juegos de Llaves   Sistema de Encendido   Espejos Laterales   Manijas,Japón,7 - 10 años,Sí,841,130,60,207,231,264,294,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,35,5,66,38,1388,0,Sí,Pendiente por desarrollar,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
36,COMP036,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Resina Plastica,Japón,7 - 10 años,Sí,110,40,18,247,299,470,661,5,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,4,4,14,7,312,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
37,COMP037,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Panel aislante industrial para construcciones y cámaras de frío,Italia,7 - 10 años,Sí,22,57,19,262.92,306.73,350.54,438.19,4,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,1,3,2,0,7,0,No,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
38,COMP038,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Ensamble y Soldadura de partes automotrices,Japón,7 - 10 años,Sí,26,9,49,215,230,300,335,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,3,5,3,3,8,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
39,COMP039,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Pistones de aluminio y de acero,Alemania,16 - 20 años,Sí,393,307,23,255,347,438,529,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,41,4,25,14,111,0,Sí,No aplica,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
40,COMP040,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Arneses Automotrices,Alemania,11 - 15 años,Sí,1633,264,59,234.72,258.19,333.33,394.66,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,172,8,148,74,6042,305,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
41,COMP041,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","PISTONES, PERNOS, METALES, JUNTAS DE MOTOR",México,más de 40 años,Sí,510,164,39,256,256,306,376,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,25,6,35,10,315,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
42,COMP042,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Refrigeradores,México,16 - 20 años,Sí,3436,886,59,217.24,239.61,276.53,304.17,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,300,6,300,240,5516,242,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
43,COMP043,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,LAS COLINAS DE SILAO INDUSTRIAL & BUSINESS PARK - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Modulos de Aire Acondicionado,Alemania,11 - 15 años,Sí,136,38,88,189.75,228.13,264.87,328.78,6,Tenemos más categorías y rangos. Por favor especifique:,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,2,5,3,1,67,0,No,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
44,COMP044,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,LAS COLINAS DE SILAO INDUSTRIAL & BUSINESS PARK - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Seguros electricos,Japón,7 - 10 años,Sí,556,107,62,233,288,314,328,15,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,8,6,44,29,472,355,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
45,COMP045,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Autopartes de plástico.,Japón,4 - 6 años,Sí,245,112,55,206.38,233.87,233.87,272.41,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,19,3,26,17,1029,147,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
46,COMP046,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",BARRAS ESTABILIZADORAS Y RESORTES HELICOIDALES,Japón,7 - 10 años,Sí,88,104,29,248,287,300,354,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,5,6,9,4,14,4,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
47,COMP047,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Pintura para industria Automotriz,Japón,7 - 10 años,Sí,20,79,30,230.1,230,278.77,485.32,5,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,3,16,15,126,20,No,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
48,COMP048,Guanajuato,"Sí,acepto",León,León,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,León,León,LAS COLINAS DE LEÓN INDUSTRIAL PARK - LEÓN,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Componentes plásticos unitarios o ensamblados para la industria especializada como la automotriz y aeroespacial,España,7 - 10 años,No,165,124,55,200,300,400,900,Más de 20 personas a su cargo,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,100,3,100,20,340,40,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo finalizar mi participación.
49,COMP049,Guanajuato,"No, no acepto por el momento",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",rodamientos para la industria automotriz,Japón,7 - 10 años,Sí,115,53,21,235,298,358,439,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,2,5,1,0,60,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
50,COMP050,Guanajuato,"Sí,acepto",León,León,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,León,León,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Desarrollo de Software,México,16 - 20 años,No,34,16,25,328,493,592,723,3,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,1,2,0,0,0,0,No,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
51,COMP051,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Empresa de servicios de apoyo para la industria(Sorteadores, shelters, servicios de outsourcing, logística, etc.)",Servicio de logística y manejo de almacén para industria automotriz,Japón,7 - 10 años,Sí,659,135,50,249,255.8,301.5,384,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,105,4,72,40,1483,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
