,Empresa,Estado,"¿Autorizan que los contactemos vía Whatsapp?, esto nos ayudará a mejorar la comunicación con ustedes para entregar resultados.",Municipio,Parque o zona industrial donde están ubicados,También puedes consultarlo en línea https://www.catchconsulting.com.mx/#/aviso-privacidad,¿Qué información desean contestar?,"Por favor, seleccione el municipio donde se encuentran ubicados","Por favor, seleccione el municipio donde se encuentran ubicados.1",¿Dentro de que parque o zona industrial están ubicados?.1,"Por favor, seleccione su principal industria o sector comercial.En caso de que el modelo no se ajuste a su compañía, favor de seleccionar la casilla más cercana.","Por favor, especifique el producto final o servicios que su compañía fabrica o comercializa.","Avance 10% - Por favor, seleccione el principal origen de capital de su compañía:","Por favor, seleccione el tiempo que ha estado operando su compañía:",¿Su compañía cuenta con alguna Confederación Sindical (Sindicato)?,"Por favor, especifique su Número de Empleados Actual de Personal Operativo (empleados también clasificados como ""Sindicalizados"").En caso de no contar con este tipo de personal capturar 0. Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","Por favor, especifique su Número de Empleados Actual de Personal Administrativo (empleados también clasificados como ""Staff"").En caso de no contar con este tipo de personal capturar 0. Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.","¿Qué proporción hay de mujeres y hombres?Tomando el 100% de su headcount actual, ¿Qué porcentaje de su población son Mujeres y qué porcentaje Hombres?Considere que ambas cantidades deben sumar 100Este campo solo admite números enteros. Omitir símbolos de moneda y/o comas.Por ejemplo:
52,COMP052,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",aceites y grasas vegetales,México,20 - 30 años,No se,300,200,15,207.44,207.44,257.52,266.09,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,47,3,38,20,150,125,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
53,COMP053,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",aplicaciones de protección,España,11 - 15 años,No,82,31,53,220,232.5,217.85,325,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,2,3,2,1,46,0,Sí,No aplica,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
54,COMP054,Guanajuato,"No, no acepto por el momento",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Moldes para la inyección de piezas plásticas.  Piezas plásticas por soplado e inyección,Canadá,4 - 6 años,Sí,71,59,44,210.91,223.53,256.77,302.11,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,11,1,25,13,127,5,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
55,COMP055,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Filtros de aire y aceite,Japón,7 - 10 años,Sí,302,90,55,210.18,270.64,297.75,305.33,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,Me gustaría concluir posteriormente la encuesta,Noviembre - Diciembre 2022,0,4,18,11,184,0,No,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir",Deseo finalizar mi participación.
56,COMP056,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",DIE CASTING,Japón,11 - 15 años,Sí,248,294,136,245.02,299.11,378.17,400.51,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,10,10,29,15,246,30,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
57,COMP057,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Fabricación de elementos de sujeción y tornillería para la industria automotriz,Japón,11 - 15 años,Sí,82,58,16,305.76,333.9,362.88,411.51,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,5,2,0,7,0,No,No aplica,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
58,COMP058,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",EMBUTIDOS,México,más de 40 años,No,36,11,11,211.71,211.71,225,238.24,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,1,5,5,2,27,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
59,COMP059,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,LAS COLINAS DE APASEO INDUSTRIAL PARK - APASEO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Partes plásticas cromadas,Francia,1 - 3 años,Sí,170,65,81,269.05,269.05,295.96,366.06,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,36,7,35,20,330,21,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
60,COMP060,Guanajuato,"No, no acepto por el momento",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",RODAMIENTOS Y BALEROS,Alemania,11 - 15 años,Sí,457,354,31,230.44,315.71,420.92,668.22,12,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,4,6,12,9,470,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
61,COMP061,Guanajuato,"Sí,acepto",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Resortes,Alemania,11 - 15 años,Sí,291,57,143,239,286,365,464,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,5,7,10,6,83,0,No,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
62,COMP062,Guanajuato,"Sí,acepto",León,León,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,León,León,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Comercialización de aceros planos,México,más de 40 años,No,68,100,28,403.21,461.51,533.01,693.61,5,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,3,4,3,2,20,4,Sí,Actualmente en desarrollo con un plan externo,No Aplica (Especifique),"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
63,COMP063,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,PARQUE INDUSTRIAL AMISTAD BAJIO - CELAYA,Otro (especifique),PARTES PLASTICAS,México,11 - 15 años,Sí,164,153,60,207.44,209.7,247.11,251.63,9,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,10,5,41,19,95,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
64,COMP064,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",cople flexible para la industria automotriz,Otro (especifique),4 - 6 años,Sí,157,35,42,221.97,245.32,267.47,320.13,18,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,25,7,63,23,184,0,Sí,Pendiente por desarrollar,Ya tuvimos la revisión de incrementos salariales del 2023,"Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
65,COMP065,Guanajuato,"No, no acepto por el momento",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","ECOCORN, ECORUB, EVONPLUS, MICROTECH Y RUBFLEX, SOVERGUM, SOVERTWIN, SOVERWOOD Y SOVINIL",Italia,16 - 20 años,Sí,27,22,18,192,231,292,335,4,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,2,3,4,3,30,0,Sí,Pendiente por desarrollar,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
66,COMP066,Guanajuato,"No, no acepto por el momento",San Miguel de Allende,San Miguel de Allende,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,San Miguel de Allende,San Miguel de Allende,POLÍGONO EMPRESARIAL SAN MIGUEL DE ALLENDE - SAN MIGUEL DE ALLENDE,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","FILLER PIPES, RADIATOR/OIL CAPS, VALVES & ESIM, CANISTERS, FUEL CAPS, TOV/THERMALS, THERMOSTATS, FRONT END CARRIERS, ",Estados Unidos de América,7 - 10 años,Sí,200,72,60,253.12,280.78,316.73,335.7,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,0,8,22,10,290,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
67,COMP067,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Alfombra y tapetes para el sector automotriz,Japón,7 - 10 años,Sí,200,98,136,207.5,228,246,260,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,32,2,25,22,304,6,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
68,COMP068,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,"En caso de que no encontrar en la lista tu parque industrial o zona, ingresa el nombre aquí.","Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",CARNICOS MARINADOS,México,30 - 40 años,No,145,135,126,216.63,229.36,254.48,458.4,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,46,8,29,10,42,0,Sí,Actualmente en desarrollo con un plan interno,Ya tuvimos la revisión de incrementos salariales del 2023,"No, no tengo vacantes por cubrir",Deseo continuar con el resto de la encuesta.
69,COMP069,Guanajuato,"No, no acepto por el momento",Apaseo el Grande,Apaseo el Grande,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,PARQUE INDUSTRIAL AMISTAD BAJIO - CELAYA,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Piezas plásticas para la industria automotriz,Alemania,4 - 6 años,Sí,132,57,75,219.79,269.26,323.3,338.14,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,21,8,8,6,80,0,Sí,Pendiente por desarrollar,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
70,COMP070,Guanajuato,"No, no acepto por el momento",Silao,Silao,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Autopartes, ensamble, costura, estampado e inyección de plástico.",Japón,7 - 10 años,Sí,281,91,61,230.43,265.39,297.07,310.07,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,41,6,49,33,1143,43,No,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
71,COMP071,Guanajuato,"Sí,acepto",Celaya,Celaya,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Celaya,Celaya,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Empresa de servicios en general(Comercios en general, salud, instituciones financieras, gasolineras, hotelería, transporte, ventas, etc.)",transporte de personal,México,16 - 20 años,Sí,600,129,8,185.71,400,428.57,571.42,Más de 20 personas a su cargo,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,50,8,54,25,30,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
72,COMP072,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Vestiduras (costura) y estructura metalicas (soldadura)  para asientos automotrices e inyeccion de plastico para las industria automotriz,Japón,7 - 10 años,Sí,402,75,49,209.97,239,233.15,327.58,Más de 20 personas a su cargo,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,69,7,98,45,493,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
73,COMP073,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Tubería para motores y chasis para combustible, líquido para frenos y refrigerante",Japón,7 - 10 años,Sí,511,110,54,229.23,239.2,259.13,269.1,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,25,6,15,5,1230,15,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
74,COMP074,Guanajuato,"No, no acepto por el momento",León,León,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,León,León,NO ESTAMOS DENTRO DE UN PARQUE INDUSTRIAL,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",flechas y engranes,Otro (especifique),16 - 20 años,Sí,412,99,27,315,331,392,473,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,10,3,10,8,374,1,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
75,COMP075,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Motores,Alemania,7 - 10 años,Sí,1204,343,27,299.65,365.36,420.55,565.96,"0, no tiene equipo a cargo",Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,25,3,22,15,5599,564,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
76,COMP076,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,"En caso de que no encontrar en la lista tu parque industrial o zona, ingresa el nombre aquí.","Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Inyección de plástico (partes plásticas para el sector automotriz) y sub-ensambles,Japón,4 - 6 años,Sí,148,64,89,211,238,270,329,10,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,8,6,13,6,101,40,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
77,COMP077,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RÍO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Moldeo por inyección de gaskets, O´rings  y sellos para transmisiones de autos.",Alemania,7 - 10 años,Sí,38,18,34,209.35,267.33,308.12,371,11,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,1,2,0,0,1,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","No, no tengo vacantes por cubrir","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
78,COMP078,Guanajuato,"Sí,acepto",Irapuato,Irapuato,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Irapuato,Irapuato,CENTRO INDUSTRIAL GUANAJUATO - IRAPUATO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",Ajustadores para las bolsas de aire,Francia,7 - 10 años,Sí,87,44,60,200.37,212.99,252.44,314.82,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,7,7,6,2,14,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre","Sí, Deseo continuar con el resto de la encuesta pero necesito un descanso de 5 minutos."
79,COMP079,Guanajuato,"Sí,acepto",Silao,Silao,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Silao,Silao,GUANAJUATO PUERTO INTERIOR - SILAO,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",medidores de luz,China,1 - 3 años,Sí,750,52,60,244,267.91,302.38,341.53,"0, no tiene equipo a cargo",Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,315,7,163,46,1646,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
80,COMP080,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He Leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,PARQUE INDUSTRIAL AMISTAD BAJIO - CELAYA,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)","Inyección de plástico y manufactura de productos platicos para el hogar y uso personal.  Rastrillos, espátulas de cocina, electrodoméstico, entre otras piezas plásticas",Otro (especifique),11 - 15 años,Sí,570,126,85,207,210,236,247,4,Este modelo de 4 categorías se ajusta al esquema de mi compañía,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,64,7,84,60,418,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
81,COMP081,Guanajuato,"Sí,acepto",Apaseo el Grande,Apaseo el Grande,He leído y estoy de acuerdo en compartir mi información de acuerdo la lo establecido en el Aviso de Privacidad y Confidencialidad.,ACTUALIZAR ENCUESTA.,Apaseo el Grande,Apaseo el Grande,PARQUE INDUSTRIAL AMISTAD BAJIO - CELAYA,"Industrial en general(Industria Aeroespacial, automotriz, metalúrgica, petroquímica, agroindustria, textil, etc.)",tanque de gasolina & quemacocos,Japón,4 - 6 años,Sí,67,77,45,230,315,480,802,3,Tenemos más categorías y rangos. Por favor especifique:,"Nada me detiene, mi perseverancia es la clave de mi éxito",Noviembre - Diciembre 2022,9,1,6,5,11,0,Sí,Actualmente en desarrollo con un plan interno,"Pendiente de realizarlo, aun no llega la fecha","Sí, tengo vacantes próximas a cubrir en este bimestre",Deseo continuar con el resto de la encuesta.
